GROUP	SKILL	QUALITY	PLEASANTNESS
audio	83	37	61
audio	93	23	75
audiovisual	84	40	46
audiovisual	92	100	90
audio	60	40	31
audiovisual	40	30	80
audio	47	16	20
audiovisual	40	30	75
audiovisual	65	40	90
audiovisual	50	20	30
audio	59	59	70
audiovisual	50	50	70
audiovisual	90	80	90
audiovisual	80	65	65
audio	77	34	63
audiovisual	60	35	30
audiovisual	50	30	70
audio	30	21	51
audiovisual	95	65	95
audio	75	45	90
audiovisual	92	60	92
audiovisual	60	30	70
audio	86	91	83
audiovisual	70	27	75
audio	100	75	90
audiovisual	69	42	75
audio	71	0	11
audio	85	100	85
audiovisual	85	85	90
audiovisual	80	64	65
audiovisual	100	50	75
audiovisual	71	32	60
audio	100	90	69
audio	75	20	97
audiovisual	60	30	60
audiovisual	90	80	30
audio	55	38	70
audio	47	20	38
audio	70	45	60
audio	40	37	37
audio	72	48	51
