player,ref,pattern,style,Nstrokes,Tprep_mean,Tprep_SD,Zprep_mean,Zprep_SD,Tstroke_mean,Tstroke_SD,MAGstroke_mean,MAGstroke_SD,MAGreb_mean,MAGreb_SD,Ratio_mean,Ratio_SD
DP20 ,R ,1,P,48.0,223.229167,9.005884,918.887066,18.509176,338.645833,10.841683999999999,115.41666699999999,5.657168,4088.579082,290.530559,1476.061237,127.382065
DP08 ,R ,2,O,55.0,246.18181800000002,16.644809,925.1006800000001,14.839637,361.818182,21.743744,115.63636399999999,7.5495,5291.430536,306.447737,1334.815001,285.941474
DP12 ,M ,1,L,50.0,204.6,12.640637,845.0328800000001,16.097759,293.65,15.128784,89.05,6.544393,3443.540454,233.63155899999998,1345.918377,113.37421699999999
DP08 ,M ,2,P,51.0,227.20588199999997,20.103775,939.6437689999999,23.056552,329.705882,31.928228000000004,102.5,13.583078,6248.794552,403.101762,1859.5197699999999,397.410372
DP17 ,M ,2,L,49.0,209.48979599999998,10.728413,958.6403140000001,19.380138,312.040816,12.845977,102.55102,4.606658,4965.035709000001,238.34463,1590.035165,139.489566
DP20 ,M ,1,O,50.0,220.7,6.488608999999999,968.300087,10.866714,337.35,8.768711999999999,116.65,5.165871,4853.203864,352.98789300000004,1793.03645,144.554346
DP15 ,R ,2,O,52.0,191.10576899999998,8.708423,933.945042,10.876057000000001,322.355769,13.507564000000002,131.25,7.897939999999999,3965.347511,280.929752,1589.7815890000002,335.520153
DP16 ,M ,2,N,50.0,223.85,24.281565,938.3568300000001,16.215471,342.6,26.764087,118.75,8.853254,4138.551425,283.155752,1899.293175,165.404193
DP13 ,M ,1,N,50.0,280.45,24.592028,866.781587,15.209335999999999,383.65,26.67936,103.2,6.019526,3698.485779,213.565207,1522.645552,147.50982
DP10 ,R ,1,O,51.0,198.088235,7.9149899999999995,910.375718,13.332898000000002,315.980392,9.001089,117.89215700000001,6.6402660000000004,4497.717344,196.28589399999998,1910.280471,140.338514
DP10 ,M ,1,P,51.0,194.117647,10.580921,909.26245,16.793522,302.45097999999996,13.923812,108.33333300000001,8.450838000000001,4892.065325,240.0957,2062.240459,120.80926000000001
